scheduler,id,arrival,burst,start,exit,waiting,turnaround,response
FCFS,209,4282,99,9353,9452,5071,5170,5071
FCFS,66,4297,46,9452,9498,5155,5201,5155
FCFS,468,4380,20,9498,9518,5118,5138,5118
FCFS,198,4389,85,9518,9603,5129,5214,5129
FCFS,163,4413,60,9603,9663,5190,5250,5190
FCFS,8,4426,55,9663,9718,5237,5292,5237
FCFS,264,4433,51,9718,9769,5285,5336,5285
FCFS,437,4452,40,9769,9809,5317,5357,5317
FCFS,391,4465,90,9809,9899,5344,5434,5344
FCFS,120,4488,58,9899,9957,5411,5469,5411
FCFS,270,4493,98,9957,10055,5464,5562,5464
FCFS,358,4495,8,10055,10063,5560,5568,5560
FCFS,277,4496,98,10063,10161,5567,5665,5567
FCFS,249,4499,12,10161,10173,5662,5674,5662
FCFS,241,4548,95,10173,10268,5625,5720,5625
FCFS,19,4555,13,10268,10281,5713,5726,5713
FCFS,279,4555,38,10281,10319,5726,5764,5726
FCFS,447,4611,79,10319,10398,5708,5787,5708
FCFS,140,4636,15,10398,10413,5762,5777,5762
FCFS,298,4642,6,10413,10419,5771,5777,5771
FCFS,33,4658,52,10419,10471,5761,5813,5761
FCFS,278,4735,52,10471,10523,5736,5788,5736
FCFS,228,4736,85,10523,10608,5787,5872,5787
FCFS,181,4737,35,10608,10643,5871,5906,5871
FCFS,395,4752,13,10643,10656,5891,5904,5891
FCFS,373,4777,14,10656,10670,5879,5893,5879
FCFS,354,4780,81,10670,10751,5890,5971,5890
FCFS,80,4859,65,10751,10816,5892,5957,5892
FCFS,382,4869,15,10816,10831,5947,5962,5947
FCFS,79,4887,8,10831,10839,5944,5952,5944
FCFS,291,4893,17,10839,10856,5946,5963,5946
FCFS,272,4911,30,10856,10886,5945,5975,5945
FCFS,193,4931,65,10886,10951,5955,6020,5955
FCFS,263,4973,75,10951,11026,5978,6053,5978
FCFS,16,5051,84,11026,11110,5975,6059,5975
FCFS,459,5052,45,11110,11155,6058,6103,6058
FCFS,111,5056,77,11155,11232,6099,6176,6099
FCFS,499,5073,75,11232,11307,6159,6234,6159
FCFS,313,5088,56,11307,11363,6219,6275,6219
FCFS,500,5104,15,11363,11378,6259,6274,6259
FCFS,132,5116,99,11378,11477,6262,6361,6262
FCFS,122,5134,45,11477,11522,6343,6388,6343
FCFS,188,5172,10,11522,11532,6350,6360,6350
FCFS,398,5177,68,11532,11600,6355,6423,6355
FCFS,429,5188,62,11600,11662,6412,6474,6412
FCFS,4,5191,62,11662,11724,6471,6533,6471
FCFS,380,5222,38,11724,11762,6502,6540,6502
FCFS,171,5232,63,11762,11825,6530,6593,6530
FCFS,412,5237,26,11825,11851,6588,6614,6588
FCFS,187,5249,66,11851,11917,6602,6668,6602
FCFS,94,5258,91,11917,12008,6659,6750,6659
FCFS,85,5276,45,12008,12053,6732,6777,6732
FCFS,15,5311,62,12053,12115,6742,6804,6742
FCFS,381,5315,99,12115,12214,6800,6899,6800
FCFS,462,5387,70,12214,12284,6827,6897,6827
FCFS,3,5390,23,12284,12307,6894,6917,6894
FCFS,41,5393,85,12307,12392,6914,6999,6914
